id,name,price
1,array transicional proactivo,641.23
2,alianza 4ta generación enfocado al cliente,742.84
3,definición explícita con ingeniería inversa,227.09
4,línea segura 4ta generación total,678.32
5,base de datos estable preventivo,91.50
6,emulación nueva generación versátil,36.62
7,previsión 24 horas exclusivo,222.54
8,caja de herramientas nacional de arquitectura abierta,604.01
9,previsión basado en contenido basado en funcionalidad,202.84
10,soporte cliente-servidor enfocado al cliente,422.42
11,iniciativa generada por el cliente operativo,591.32
12,jerarquía valor añadido intuitivo,760.01
13,analista no-volátil compartible,699.65
14,capacidad móvil multiplataforma,281.48
15,estructura de precios homogénea optimizado,957.43
16,productividad discreta compatible,106.70
17,analista explícita monitoreado,101.23
18,inteligencia artificial explícita personalizable,605.71
19,iniciativa alto nivel llave pública,731.08
20,estrategia metódica exclusivo,129.20
21,infraestructura maximizada totalmente configurable,83.41
22,soporte heurística configurable,830.26
23,línea segura generado por la demanda compartible,886.02
24,extranet dedicada enfocado a la calidad,579.47
25,iniciativa heurística total,50.60
26,emulación interactiva clonado,774.20
27,codificar 5ta generación multi-capas,856.04
28,interfaz heurística compatible,383.23
29,definición sistémica multi-capas,637.51
30,definición tiempo real perseverante,166.84
31,estructura no-volátil en toda la empresa,213.46
32,flexibilidad sensible al contexto innovador,703.31
33,proceso de mejora orientada a soluciones intuitivo,611.09
34,proyecto nacional centrado en el usuario,536.47
35,interfaz metódica fundamental,167.59
36,circuito regional reducido,273.60
37,array analizada digitalizado,223.52
38,complejidad tolerancia cero exclusivo,843.64
39,mediante nacional virtual,232.90
40,arquitectura modular orgánico,806.02
41,protocolo orientado a objetos seguro,271.40
42,firmware estática avanzado,913.57
43,mediante coherente compartible,876.99
44,focus group local digitalizado,216.56
45,función basado en necesidades exclusivo,398.65
46,middleware 24 horas intuitivo,147.16
47,sistema abierto didáctica con ingeniería inversa,250.39
48,medición tolerancia cero multicanal,541.28
49,estrategia recíproca visionario,431.29
50,base de datos basado en contenido opcional,402.40
51,concepto estable seguro,997.34
52,habilidad uniforme en red,511.98
53,monitorizar 3ra generación digitalizado,757.00
54,implementación incremental implementado,157.08
55,enfoque tolerante a fallos universal,793.12
56,inteligencia artificial bidireccional recontextualizado,598.43
57,arquitectura orientada a soluciones diverso,384.71
58,desafío óptima orientado a equipos,531.47
59,conglomeración global seguro,861.48
60,línea segura nacional basado en funcionalidad,681.88
61,portal dinámica multilateral,683.30
62,interfaz misión crítica programable,752.12
63,paradigma nueva generación distribuido,115.99
64,extranet ejecutiva compatible,162.37
65,soporte 3ra generación versátil,954.05
66,estructura de precios explícita versátil,972.03
67,emulación 24 horas configurable,510.14
68,utilización tolerancia cero clonado,871.17
69,codificar asíncrona balanceado,842.46
70,hardware monitorizada por red de tamaño adecuado,610.93
71,encriptar alto nivel recontextualizado,377.04
72,definición estable diverso,541.68
73,fuerza de trabajo tangible actualizable,918.90
74,modelo innovadora reactivo,327.54
75,intranet discreta personalizable,116.31
76,actitud basado en necesidades operativo,879.33
77,red de area local multiestado enfocado a la calidad,243.26
78,aplicación generada por el cliente clonado,878.62
79,interfaz local descentralizado,90.23
80,extranet discreta enfocado,816.94
81,política nueva generación mejorado,767.01
82,red de area local direccional administrado,661.45
83,migración innovadora configurable,169.30
84,matrices estática personalizable,873.07
85,aplicación estable avanzado,964.54
86,array tolerante a fallos expandido,756.49
87,intranet radical realineado,714.38
88,definición multimedia clonado,995.17
89,conglomeración móvil adaptativo,440.91
90,instalación global llave pública,454.23
91,base de trabajo nacional total,228.57
92,superestructura radical ergonómico,25.93
93,fidelidad homogénea basado en funcionalidad,233.96
94,enfoque terciaria sincronizado,12.15
95,enfoque intangible clonado,232.80
96,aplicación terciaria realineado,860.34
97,sistema abierto secundaria exclusivo,516.59
98,enfoque regional multiplataforma,670.63
99,núcleo asíncrona virtual,541.54
100,arquitectura tolerante a fallos persistente,578.33
